city;monument;2018;2019;2020;2021;type_of_monulent;region;type_of_area;monument_name
AIGUES-MORTES  ;TOURS ET REMPARTS;177018;191604;110917;145944;TOURS;OCCITANIE;URBAIN;Towers and Ramparts
AMIENS  ;TOURS CATHEDRALE;14743;16612;2527;5015;TOURS;HAUTS-DE-FRANCE;URBAIN;Cathedral Towers
ANGERS  ;CHATEAU;219501;247741;126481;154332;CHATEAU;PAYS-DE-LOIRE;URBAIN;Castle
ARLES  ;ABBAYE DE MONTMAJOUR;51644;53447;20415;39985;ABBAYE;PROVENCE-ALPES-COTES-AZUR;URBAIN;Montmajour Abbey
ASSIER  ;CHATEAU;1059;1553;2219;3237;CHATEAU;OCCITANIE;RURALE;Castle
AZAY-LE-RIDEAU  ;CHATEAU;307290;310322;149069;180461;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
BAYONNE  ;CLOITRE CATHEDRALE;0;0;0;0;CATHEDRALE;NOUVELLE-AQUITAINE;URBAIN;Cathedral Cloister
BEAULIEU S/ MER  ;VILLA KERYLOS;44041;44108;25885;32319;VILLA;PROVENCE-ALPES-COTES-AZUR;PERIURBAIN;Villa Kerylos
BEAULIEU-EN-ROUERGUE  ;ABBAYE;7487;10266;0;188;ABBAYE;OCCITANIE;RURALE;Abbey
BERZE  ;CHAPELLE DES MOINES;9714;10701;2964;5731;CHAPELLE;BOURGOGNE-FRANCHE-COMPTE;RURALE;Monks chapel
BESANCON  ;HORLOGE CATHEDRALE;3012;10244;0;0;CATHEDRALE;BOURGOGNE-FRANCHE-COMPTE;URBAIN;Astronomical Clock
BORDEAUX  ;TOUR CATHEDRALE;77270;80833;11980;22774;TOURS;NOUVELLE-AQUITAINE;URBAIN;Cathedral Tower
BOUGES  ;CHATEAU;18726;11699;5295;3202;CHATEAU;CENTRE-VAL-DE-LOIRE;URBAIN;Castle
BOURG-EN-BRESSE  ;MONASTERE DE BROU;90769;91660;43903;62713;MONASTERE;AUVERGNE-RHONE-ALPES;URBAIN;Royal Monastery of Brou
BOURGES  ;CRYPTE ET TOURS CATHEDRALE;34566;38857;2060;8320;CRYPTE;CENTRE-VAL-DE-LOIRE;URBAIN;Crypt and Tower Of Bourges
BOURGES  ;PALAIS-JACQUES COEUR;45858;51423;27431;32636;PALAIS;CENTRE-VAL-DE-LOIRE;URBAIN;Jacques Coeur Palace
BUSSY-LE GRAND  ;CHATEAU BUSSY-RABUTIN;30455;26351;14722;16799;CHATEAU;BOURGOGNE-FRANCHE-COMPTE;RURALE;Bussy-Rabutin castle
CADILLAC  ;CHATEAU;21950;22778;10913;10968;CHATEAU;NOUVELLE-AQUITAINE;RURALE;Castle
CARCASSONNE  ;CHATEAU ET REMPARTS;597213;621146;266751;316404;CHATEAU;OCCITANIE;URBAIN;Castle and ramparts
CARROUGES  ;CHATEAU;17386;15869;12387;14065;CHATEAU;NORMANDIE;RURALE;Castle
CHAMPS-SUR-MARNE  ;CHATEAU;43506;39473;21602;37639;CHATEAU;ILE-DE-FRANCE;URBAIN;Castle
CHAREIL-CINTRAT  ;CHATEAU;1986;1916;791;1363;CHATEAU;AUVERGNE-RHONE-ALPES;RURALE;Castle
CHARROUX  ;ABBAYE;1737;761;2738;4544;ABBAYE;AUVERGNE-RHONE-ALPES;RURALE;Abbey
CHARTRES  ;TOURS ET TRESOR CATHEDRALE;6160;13089;3790;4773;TOURS;CENTRE-VAL-DE-LOIRE;URBAIN;Towers and Cathedral Treseaure
CHATEAUDUN  ;CHATEAU;22871;22801;11390;12529;CHATEAU;CENTRE-VAL-DE-LOIRE;RURALE;Castle
CLUNY  ;ABBAYE;123787;130151;68117;81805;ABBAYE;BOURGOGNE-FRANCHE-COMPTE;RURALE;Abbey
COUCY  ;CHATEAU;15765;15311;10435;10148;CHATEAU;HAUTS-DE-FRANCE;RURALE;Castle
CROIX  ;VILLA CAVROIS;97532;105115;52478;54073;VILLA;HAUTS-DE-FRANCE;URBAIN;Villa Carvois
